FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,geom
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6129,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:36:00,-42.5967,148.2333,20,MAI20090716_WC,WC,0.01,0.011,0,0,,,0.02,0,0.264,0.057,0.01,0.018,0,,0,0,0.009,0,0,0.269,0.005,0.057,0,0,0.037,0,0.038,0,0,0,0,0.008,0,0,0,0,0.022,0,0,0.006,0.011,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612a,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 13:30:00,-42.5967,148.2333,19,MAI20090820_20,20,0.005,0.01,0,0,,,0.018,0,0.359,0.055,0.008,0.039,0.032,,0,0,0.009,0,0,0.359,0,0.055,0,0,0.079,0,0.035,0,0,0,0,0.009,0.005,0,0,0,0.017,0,0,0.006,0.01,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612b,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 13:30:00,-42.5967,148.2333,19,MAI20090820_80,80,0.004,0.008,0,0,,,0.016,0,0.176,0.04,0.003,0.019,0.019,,0,0,0.006,0,0,0.176,0,0.04,0,0,0.036,0,0.023,0,0,0,0,0.005,0,0,0,0,0.011,0,0,0.002,0.008,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612c,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 13:00:00,-42.5967,148.2333,19,MAI20090820_WC,WC,0.007,0.011,0,0,,,0.018,0,0.365,0.058,0.008,0.039,0.017,,0,0,0.011,0,0,0.365,0,0.058,0,0,0.073,0,0.034,0,0,0,0,0.008,0.005,0,0,0,0.017,0,0,0.005,0.01,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612d,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 13:25:00,-42.5967,148.2333,17,MAI20090907_20,20,0.009,0.012,0,0,,,0.024,0,0.381,0.079,0.008,0.035,0.036,,0,0,0.013,0,0,0.381,0,0.079,0,0,0.072,0,0.054,0,0,0,0,0.009,0.006,0,0,0,0.024,0,0,0.006,0.013,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612e,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 13:25:00,-42.5967,148.2333,17,MAI20090907_80,80,0.003,0.007,0,0,,,0.011,0,0.253,0.037,0.007,0.019,0.017,,0,0,0.008,0,0,0.253,0,0.037,0,0,0.065,0,0.02,0,0,0,0,0.004,0,0,0,0,0.012,0,0,0.003,0.005,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_612f,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 13:25:00,-42.5967,148.2333,17,MAI20090907_WC,WC,0.012,0.011,0.002,0,,,0.021,0,0.378,0.063,0.008,0.032,0.021,,0,0,0.013,0,0,0.378,0,0.063,0,0,0.07,0,0.05,0,0,0,0,0.012,0.005,0,0,0,0.021,0,0,0.005,0.015,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6130,NRS,Maria Island,MAI20091013,2009-10-13,2009-10-13 14:00:00,-42.5967,148.2333,11,MAI20091013_20,20,0.046,0.074,0.009,0,,,0.027,0,2.342,0.254,0.089,0.266,0.162,,0.024,0,0.162,0.012,0,2.342,0,0.254,0,0,0.7,0,0.102,0,0.004,0,0,0.026,0.076,0.131,0.249,0,0.054,0.055,0,0.033,0.018,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6131,NRS,Maria Island,MAI20091013,2009-10-13,2009-10-13 14:20:00,-42.5967,148.2333,11,MAI20091013_80,80,0.006,0.018,0,0.004,,,0.005,0,0.634,0.02,0.015,0.053,0.034,,0.006,0,0.027,0,0,0.634,0,0.02,0,0,0.253,0,0.009,0,0,0,0,0.004,0,0.244,0,0,0.01,0,0,0,0,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6132,NRS,Maria Island,MAI20091013,2009-10-13,2009-10-13 13:00:00,-42.5967,148.2333,11,MAI20091013_WC,WC,0.013,0.039,0.003,0,,,0.014,0,1.477,0.08,0.043,0.13,0.1,,0.019,0,0.08,0.005,0,1.477,0,0.08,0,0,0.507,0,0.05,0,0,0,0,0.011,0.02,0.131,0.151,0,0.031,0.089,0,0.012,0.012,1,POINT (148.23333 -42.59667)
